"","year","generation","sba","Per_Mice"
"459",2002,1,306,87.8048780487805
"460",2002,1,307,47.3282442748092
"461",2002,1,308,43.9393939393939
"462",2002,1,309,53.2608695652174
"463",2002,1,310,45.9016393442623
"464",2002,1,401,88.1773399014778
"465",2002,1,402,77.8523489932886
"466",2002,1,403,76.7567567567568
"467",2002,1,404,69.2307692307692
"468",2002,1,405,78.6764705882353
"469",2002,1,406,89.922480620155
"470",2002,1,407,82.4034334763949
"471",2002,1,408,88.1889763779528
"472",2002,1,409,83.4586466165414
"473",2002,1,410,92.8571428571429
"474",2002,1,411,96.8421052631579
"475",2002,1,412,81.2080536912752
"476",2002,1,413,90.7692307692308
"477",2002,1,414,88.2352941176471
"478",2002,1,501,72.972972972973
"479",2002,1,502,92.3076923076923
"480",2002,2,101,54.5454545454545
"481",2002,2,102,51.5151515151515
"482",2002,2,103,51.7241379310345
"483",2002,2,104,30
"484",2002,2,105,48.7179487179487
"485",2002,2,106,80.3921568627451
"486",2002,2,107,87.2727272727273
"487",2002,2,108,93.6507936507936
"488",2002,2,109,78.5714285714286
"489",2002,2,110,95.8333333333333
"490",2002,2,201,88.6363636363636
"491",2002,2,202,82.8571428571429
"492",2002,2,203,53.3333333333333
"493",2002,2,204,47.8260869565217
"494",2002,2,205,61.5384615384615
"495",2002,2,206,78.7878787878788
"496",2002,2,207,81.4814814814815
"497",2002,2,208,66.6666666666667
"498",2002,2,209,57.1428571428571
"499",2002,2,210,96.3636363636364
"500",2002,2,211,93.6170212765958
"501",2002,2,212,77.7777777777778
"502",2002,2,213,82.1428571428571
"503",2002,2,214,76
"504",2002,2,215,95.2380952380952
"505",2002,2,216,73.3333333333333
"506",2002,2,217,75
"507",2002,2,218,87.2340425531915
"508",2002,2,301,82.5
"509",2002,2,302,76.0869565217391
"510",2002,2,303,86.8421052631579
"511",2002,2,304,92.6470588235294
"512",2002,2,305,90.2439024390244
"513",2002,2,306,90.1234567901235
"514",2002,2,307,73.3333333333333
"515",2002,2,308,66.6666666666667
"516",2002,2,309,69.6969696969697
"517",2002,2,310,64.5833333333333
"518",2002,2,401,95.8333333333333
"519",2002,2,402,84
"520",2002,2,403,84.6153846153846
"521",2002,2,404,65
"522",2002,2,405,86
"523",2002,2,406,95.8333333333333
"524",2002,2,407,97.6470588235294
"525",2002,2,408,89.3617021276596
"526",2002,2,409,86.8421052631579
"527",2002,2,410,95.2380952380952
"528",2002,2,412,78.2608695652174
"529",2002,2,413,92.1052631578947
"530",2002,2,414,96.551724137931
"531",2002,2,501,84.4827586206897
"532",2002,2,502,98.1481481481482
"533",2002,2,503,96.7213114754098
"534",2005,1,101,57.7235772357724
"535",2005,1,102,49.5726495726496
"536",2005,1,103,45.6140350877193
"537",2005,1,104,34.6774193548387
"538",2005,1,105,51.3274336283186
"539",2005,1,106,65.3333333333333
"540",2005,1,107,73.8461538461538
"541",2005,1,108,89.1304347826087
"542",2005,1,109,72.3684210526316
"543",2005,1,110,77.2277227722772
"544",2005,1,201,73.5849056603774
"545",2005,1,202,77.5510204081633
